Stock_Ticker,Previous_Close,Open,Market_Cap,Beta_3Y_Monthly),PE Ratio_TTM,EPS_TTM,Forward_Yeild,one_y_Target_Est
NI,28.2,28.23,10.469000000000001,0.31,84.2,0.33,2.84,30.5
JWN,36.28,35.87,5.767,0.71,12.28,3.03,4.08,34.25
NSC,183.18,183.64,49.086000000000006,1.31,18.32,10.27,2.05,202.25
NTRS,100.35,100.32,21.511999999999997,1.24,15.1,6.72,2.79,103.17
NOC,356.91,357.58,58.373000000000005,0.86,18.95,18.21,1.48,390.83
NRG,40.84,40.56,10.324000000000002,0.49,19.45,2.1,0.29,47.6
NUE,52.71,52.85,16.316,1.66,9.17,5.87,3.04,56.38
NVDA,196.86,200.1,122.179,2.47,46.12,4.43,0.34,193.7
OXY,42.29,42.29,38.042,1.25,8.39,5.07,7.47,53.15
OMC,76.49,76.61,16.726,0.39,12.91,5.95,3.4,79.15
OKE,71.29,71.33,29.548000000000002,1.14,23.69,3.02,5.13,75.95
ORCL,54.26,54.04,177.81400000000002,1.19,17.73,3.06,1.72,56.32
PCAR,75.3,75.28,26.634,1.39,11.33,6.79,1.83,73.05
PH,185.75,186.82,24.505,1.82,16.61,11.48,1.9,179.78
PDCO,16.61,16.59,1.635,1.6,13.62,1.26,6.26,19.75
PAYX,84.7,84.29,30.256999999999998,0.88,28.95,2.92,2.93,83.35
PNR,41.6,41.66,6.932,1.06,20.22,2.04,1.73,42.15
PBCT,16.81,16.79,6.603,1.48,12.87,1.31,4.22,16.95
PEP,137.89,137.78,190.53099999999998,0.47,15.55,8.79,2.77,139.65
PRGO,53.99,53.84,7.354,1.99,84.59,0.64,1.56,52.89
PFE,36.39,36.4,203.377,0.42,16.99,2.16,3.96,41.45
PM,81.45,80.85,127.54799999999999,1.09,17.09,4.8,5.75,92.53
PSX,110.63,112.23,51.321999999999996,1.14,9.87,11.59,3.25,121.0
PNW,95.09,95.06,10.579,0.13,21.08,4.47,3.1,98.58
PNC,145.6,145.29,64.388,1.28,13.14,11.16,3.16,148.21
RL,97.12,95.7,7.629,1.24,18.2,5.43,2.83,124.13
PPG,123.58,123.16,29.331,0.96,24.46,5.07,1.65,129.36
PPL,33.13,33.03,23.993000000000002,0.55,13.6,2.44,4.98,32.6
PG,124.79,124.82,307.362,0.35,78.01,1.58,2.39,127.95
PGR,69.59,69.66,40.516,0.63,12.98,5.34,0.57,87.19
PLD,92.09,91.73,57.4,0.98,32.47,2.8,2.3,92.36
PRU,91.26,90.81,37.542,1.63,9.32,9.84,4.38,99.88
PSA,241.37,240.06,40.856,-0.05,27.93,8.38,3.31,247.0
PHM,41.03,40.97,10.950999999999999,0.48,12.34,3.28,1.07,40.12
PVH,90.84,89.02,6.877999999999999,1.98,10.42,8.9,0.17,100.89
QCOM,78.99,79.0,97.459,1.53,29.34,2.73,3.34,79.35
PWR,41.2,41.2,5.894,1.56,18.84,2.2,0.39,44.08
DGX,100.29,100.54,13.555,0.85,18.89,5.33,2.11,108.69
RJF,83.93,83.19,11.640999999999998,1.33,11.78,7.17,1.62,97.25
RTN,211.21,212.5,59.081,0.99,18.15,11.69,1.78,221.2
O,80.85,80.85,25.738000000000003,0.12,62.36,1.3,3.37,78.76
RSG,86.89,86.96,27.594,0.46,26.61,3.23,1.86,93.0
RMD,127.73,145.0,20.74,0.24,49.74,2.9,1.22,123.37
RHI,58.08,57.84,6.809,1.41,14.96,3.87,2.13,59.2
ROK,173.63,174.99,20.755,1.65,20.76,8.54,2.23,162.83
ROP,332.33,331.14,34.786,1.06,30.37,11.01,0.56,376.18
ROST,110.44,110.1,40.04,0.81,25.17,4.4,0.93,111.65
RCL,109.12,108.89,23.339000000000002,1.51,12.65,8.81,2.86,141.56
SPGI,248.4,247.95,61.395,0.8,31.67,7.87,0.92,274.75
SLB,35.11,35.0,48.53,1.97,23.55,1.49,6.47,43.82
STX,56.24,56.45,15.034,1.72,8.06,7.06,4.48,50.17
SEE,41.22,41.26,6.47,1.08,17.67,2.37,1.55,46.54
SRE,148.06,148.51,39.527,0.31,20.73,6.94,2.61,153.64
SHW,574.05,575.75,53.071000000000005,1.21,38.69,14.86,0.79,597.3
SPG,154.44,154.41,47.916000000000004,0.53,20.79,7.48,5.44,178.68
SWKS,89.69,90.01,15.464,1.27,17.14,5.26,1.96,86.91
SNA,165.55,165.5,9.14,1.33,13.41,12.43,2.3,174.17
SO,61.95,62.04,64.125,0.26,14.45,4.25,4.0,59.93
LUV,56.29,56.07,30.499000000000002,1.75,12.74,4.45,1.28,59.72
SWK,146.43,145.8,22.965999999999998,1.51,35.04,4.32,1.88,162.08
SBUX,83.18,83.21,99.806,0.5,29.81,2.8,1.68,96.07
STT,65.21,65.06,23.908,1.58,12.97,5.07,3.19,67.18
SYK,211.41,211.37,79.168,1.01,22.64,9.35,0.98,227.76
STI,68.43,68.42,30.678,1.61,12.66,5.46,3.27,70.84
SYMC,23.03,22.95,14.023,1.43,135.87,0.17,1.28,22.8
SYF,35.01,35.0,23.069000000000003,1.41,6.45,5.47,2.51,39.97
SYY,78.95,79.15,40.536,0.6,24.74,3.2,1.98,75.42
TROW,113.35,113.54,26.785999999999998,1.06,14.44,7.87,2.68,117.43
TGT,110.25,109.92,55.701,0.62,18.05,6.04,2.39,112.32
TEL,93.88,94.0,31.611,1.24,10.31,9.12,1.96,99.14
TXN,118.41,118.51,112.698,1.21,22.37,5.39,3.04,126.14
TXT,46.75,46.61,10.788,1.92,12.9,3.66,0.17,56.23
BK,45.97,45.92,42.772,1.04,12.07,3.84,2.68,47.33
CLX,150.76,151.05,19.0,0.57,23.96,6.32,2.81,147.6
COO,282.72,282.26,13.967,0.96,31.59,8.92,0.02,345.17
HSY,146.37,146.37,30.035,0.02,23.65,6.06,2.11,148.87
MOS,19.92,19.91,7.926,1.89,31.07,0.66,1.0,27.17
TRV,131.43,131.05,33.666,0.81,14.65,8.9,2.5,140.69
DIS,130.26,130.5,235.801,0.72,16.85,7.77,1.35,151.79
TMO,293.44,291.98,118.81299999999999,1.14,33.37,8.89,0.26,314.8
TIF,97.67,98.3,11.905,1.47,21.46,4.59,2.51,104.04
TJX,59.11,58.82,71.44800000000001,0.84,23.91,2.47,1.56,60.27
TSCO,98.0,97.05,11.52,1.09,21.5,4.49,1.42,110.73
TSN,77.82,78.73,28.621,0.43,13.14,5.97,1.93,94.67
USB,56.31,56.25,89.413,1.23,13.04,4.35,2.98,57.02
UDR,49.44,49.35,14.472000000000001,0.49,86.4,0.57,2.77,49.42
UNP,170.39,170.39,119.631,1.19,20.31,8.49,2.28,180.2
UNH,244.51,243.91,232.097,0.7,17.82,13.75,1.77,285.16
UTX,143.44,143.35,123.38799999999999,1.31,24.12,5.93,2.05,156.53
UHS,144.7,137.95,12.205,1.23,17.15,8.04,0.55,160.59
VFC,90.82,84.9,33.507,1.44,29.4,2.86,1.89,101.38
VLO,96.91,98.0,41.138000000000005,1.74,17.93,5.54,3.71,103.11
VTR,72.47,70.27,24.590999999999998,0.19,47.41,1.39,4.37,71.39
VZ,60.58,60.6,249.676,0.47,15.77,3.83,4.06,61.04
VIAB,21.49,21.48,8.843,1.05,5.34,4.05,3.72,31.73
V,176.16,174.93,398.455,0.81,34.15,5.21,0.57,201.09
VNO,64.52,64.5,12.265,0.89,4.28,15.02,4.09,70.25
VMC,145.4,145.5,19.457,0.85,34.71,4.24,0.85,156.19
WMT,119.1,119.0,338.583,0.65,26.92,4.42,1.78,121.91
WBA,54.45,54.2,50.052,0.83,10.85,5.11,3.36,57.14
WM,113.17,113.15,47.239,0.59,27.21,4.09,1.81,126.45
WEC,94.01,94.22,29.585,0.14,27.19,3.45,2.51,90.17
WFC,51.1,51.08,220.16,1.19,11.1,4.65,3.99,50.28
WU,24.77,24.75,10.520999999999999,0.65,9.06,2.74,3.23,21.53
WRK,37.6,37.58,9.782,1.63,11.81,3.22,4.84,44.38
WHR,160.53,160.0,10.072000000000001,1.89,9.61,16.58,2.99,158.0
WMB,23.22,23.2,28.166999999999998,1.43,528.18,0.04,6.55,29.32
WYNN,117.11,116.55,13.005,1.81,15.91,7.6,3.42,132.04
XEL,64.54,64.67,33.371,0.19,25.43,2.5,2.51,65.0
XRX,30.38,30.28,6.922999999999999,2.07,13.84,2.2,3.47,37.25
XLNX,93.12,93.37,23.971999999999998,1.48,25.86,3.67,1.59,108.12
YUM,108.95,108.83,33.198,0.4,25.96,4.2,1.54,118.82
ZION,47.51,47.46,8.169,1.53,11.2,4.28,2.86,50.43
ZTS,122.95,123.17,59.388999999999996,0.61,43.94,2.83,0.53,136.0
